"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125"
"Recapture.Spaghetti.Tag.ID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Recapture.PIT.Tag.ID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salinity..ppt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.85","34.85","34.85","34.85","34.85","34.85","34.85","34.85","34.80","34.80","34.80","34.80","34.80","34.76","34.76","34.76","34.76","34.76","34.76","34.91","34.91","34.91","34.91","34.91","34.91","34.91","34.91","34.91","34.35","34.91","32.59","32.59","32.59","32.59","32.59","32.59","32.59","32.59","34.07","34.07","34.07","34.07","34.07","34.07","34.89","34.89","34.89","34.89","34.89","34.89","34.89","35.06","35.06","35.06","35.06","35.06","35.06","35.06","35.06","35.06","35.06","35.05","35.05","35.05","35.05","35.05","33.51","33.51","34.28","34.28","34.28","34.28","34.28","35.23","35.23","35.24","35.24","35.24","35.24","34.45","34.45","34.45","34.45","34.45","34.45","34.45","34.15","34.15","34.15","34.15","34.15","32.43","32.43","32.43","32.43","32.43","32.43","32.43","33.10","33.10","33.10","33.10","33.10","35.15","32.13","32.13","32.13","32.13","32.13","32.13","34.28","34.28","34.28","34.28","34.28","34.28"
"Tide",NA,NA,NA,NA,"Incoming","Incoming","Incoming","Incoming","Incoming","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","","","","","","","","","","Outgoing","","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Incoming","Incoming","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Incoming","Incoming","Incoming","Incoming","Incoming","Outgoing","Incoming","Incoming","Incoming","Incoming","Incoming","Incoming","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing","Outgoing"
"Water.Temperature..C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.29","23.29","23.29","23.29","23.29","23.29","23.29","23.29","23.62","23.62","23.62","23.62","23.62","23.95","23.95","23.95","23.95","23.95","23.95","24.65","24.65","24.65","24.65","24.65","24.65","24.65","24.65","24.65","23.91","25.88","23.33","23.33","23.33","23.33","23.33","23.33","23.33","23.33","24.58","24.58","24.58","24.58","24.58","24.58","23.32","23.32","23.32","23.32","23.32","23.32","23.32","22.25","22.25","22.25","22.25","22.25","22.25","22.25","22.25","22.25","22.25","23.45","23.45","23.45","23.45","23.45","24.44","24.44","23.22","23.22","23.22","23.22","23.22","23.56","23.56","22.61","22.61","22.61","22.61","22.45","22.45","22.45","22.45","22.45","22.45","22.45","24.26","24.26","24.26","24.26","24.26","21.12","21.12","21.12","21.12","21.12","21.12","21.12","22.59","22.59","22.59","22.59","22.59","24.11","29.98","29.98","29.98","29.98","29.78","29.78","26.92","26.92","26.92","26.92","26.92","26.92"
"Method.of.Capture",NA,NA,NA,NA,"Seine Net","Seine Net","Seine Net","Seine Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Gill Net","Gill Net","Gill Net","Gill Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Gill Net","Gill Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Seine Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Hooks","Hooks","Hooks","Hooks","Hooks","Hooks","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net","Gill Net"
"Associated.Water.Sample.IDs",NA,NA,NA,NA,"GW1, GW2, GW3, GW4","GW1, GW2, GW3, GW4","GW1, GW2, GW3, GW4","GW1, GW2, GW3, GW4","GW1, GW2, GW3, GW4","","","","","","","","","","","","","","GW9, GW10, GW11","GW9, GW10, GW11","GW9, GW10, GW11","GW9, GW10, GW11","GW9, GW10, GW11","GW9, GW10, GW11","GW12","GW12","GW12","GW12","GW12","GW12","GW12","GW12","GW12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/23/23","2/23/23","2/23/23","2/23/23","2/24/23","2/24/23","","","","","",""
"BRUV.File.Name",NA,NA,NA,NA,"merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2","merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2","merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2","merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2","merged_6/12/21_Rosa Blanca 1_B2C1; merged_6/12/21_Rosa Blanca 1_B2C2","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","merged_6/14/21_Puerto Grande_B2C1; merged_6/14/21_Puerto Grande_B2C2","","","","","","merged_6/15/21_Puerto Grande_B2C1; merged_6/15/21_Puerto Grande_B2C2","merged_6/15/21_Puerto Grande_B2C1; merged_6/15/21_Puerto Grande_B2C2","merged_6/15/21_Puerto Grande_B2C1; merged_6/15/21_Puerto Grande_B2C2","merged_6/15/21_Puerto Grande_B2C1; merged_6/15/21_Puerto Grande_B2C2","merged_6/15/21_Puerto Grande_B2C1; merged_6/15/21_Puerto Grande_B2C2","merged_6/15/21_Puerto Grande_B2C1; merged_6/15/21_Puerto Grande_B2C2","","","","","","","","","","merged_6/17/21_La Tortuga_B2C1; merged_6/17/21_La Tortuga_B2C2","","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2","","","","","","","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2","merged_7/1/21_Cerro Brujo_B2C2; merged_7/1/21_Cerro Brujo_B2C4","merged_7/1/21_Cerro Brujo_B2C2; merged_7/1/21_Cerro Brujo_B2C4","merged_7/1/21_Cerro Brujo_B2C2; merged_7/1/21_Cerro Brujo_B2C4","merged_7/1/21_Cerro Brujo_B2C2; merged_7/1/21_Cerro Brujo_B2C4","merged_7/1/21_Cerro Brujo_B2C2; merged_7/1/21_Cerro Brujo_B2C4","","","merged_6/9/22_Grimanesa_B1C3; merged_6/9/22_Grimanesa_B2C4; merged_6/9/22_Grimanesa_B2C5","merged_6/9/22_Grimanesa_B1C3; merged_6/9/22_Grimanesa_B2C4; merged_6/9/22_Grimanesa_B2C5","merged_6/9/22_Grimanesa_B1C3; merged_6/9/22_Grimanesa_B2C4; merged_6/9/22_Grimanesa_B2C5","merged_6/9/22_Grimanesa_B1C3; merged_6/9/22_Grimanesa_B2C4; merged_6/9/22_Grimanesa_B2C5","merged_6/9/22_Grimanesa_B1C3; merged_6/9/22_Grimanesa_B2C4; merged_6/9/22_Grimanesa_B2C5","merged_6/10/22_La Bomba_B1C5; merged_6/10/22_La Bomba_B2C4; merged_6/10/22_La Bomba_B2C6","merged_6/10/22_La Bomba_B1C5; merged_6/10/22_La Bomba_B2C4; merged_6/10/22_La Bomba_B2C6","merged_6/11/22_Albermarle_B1C1; merged_6/11/22_Albermarle_B1C4; merged_6/11/22_Albermarle_B2C2; merged_6/11/22_Albermarle_B2C3; merged_6/11/22_Albermarle_B2C5; merged_6/11/22_Albermarle_B2C6; merged_6/11/22_Albermarle_B1C9","merged_6/11/22_Albermarle_B1C1; merged_6/11/22_Albermarle_B1C4; merged_6/11/22_Albermarle_B2C2; merged_6/11/22_Albermarle_B2C3; merged_6/11/22_Albermarle_B2C5; merged_6/11/22_Albermarle_B2C6; merged_6/11/22_Albermarle_B1C9","merged_6/11/22_Albermarle_B1C1; merged_6/11/22_Albermarle_B1C4; merged_6/11/22_Albermarle_B2C2; merged_6/11/22_Albermarle_B2C3; merged_6/11/22_Albermarle_B2C5; merged_6/11/22_Albermarle_B2C6; merged_6/11/22_Albermarle_B1C9","merged_6/11/22_Albermarle_B1C1; merged_6/11/22_Albermarle_B1C4; merged_6/11/22_Albermarle_B2C2; merged_6/11/22_Albermarle_B2C3; merged_6/11/22_Albermarle_B2C5; merged_6/11/22_Albermarle_B2C6; merged_6/11/22_Albermarle_B1C9","merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2","merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2","merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2","merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2","merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2","merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2","merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2","merged_6/13/22_Puerto Chino_B1C1; merged_6/13/22_Puerto Chino_B2C2; merged_6/13/22_Puerto Chino_B2C3","merged_6/13/22_Puerto Chino_B1C1; merged_6/13/22_Puerto Chino_B2C2; merged_6/13/22_Puerto Chino_B2C3","merged_6/13/22_Puerto Chino_B1C1; merged_6/13/22_Puerto Chino_B2C2; merged_6/13/22_Puerto Chino_B2C3","merged_6/13/22_Puerto Chino_B1C1; merged_6/13/22_Puerto Chino_B2C2; merged_6/13/22_Puerto Chino_B2C3","merged_6/13/22_Puerto Chino_B1C1; merged_6/13/22_Puerto Chino_B2C2; merged_6/13/22_Puerto Chino_B2C3","merged_6/14/22_Baleado_B2C1; merged_6/14/22_Baleado_B2C2","merged_6/14/22_Baleado_B2C1; merged_6/14/22_Baleado_B2C2","merged_6/14/22_Baleado_B2C1; merged_6/14/22_Baleado_B2C2","merged_6/14/22_Baleado_B2C1; merged_6/14/22_Baleado_B2C2","merged_6/14/22_Baleado_B2C1; merged_6/14/22_Baleado_B2C2","merged_6/14/22_Baleado_B2C1; merged_6/14/22_Baleado_B2C2","merged_6/14/22_Baleado_B2C1; merged_6/14/22_Baleado_B2C2","merged_6/15/22_El Muelle de Balleno_B2C4; merged_6/15/22_El Muelle de Balleno_B2C5","merged_6/15/22_El Muelle de Balleno_B2C4; merged_6/15/22_El Muelle de Balleno_B2C5","merged_6/15/22_El Muelle de Balleno_B2C4; merged_6/15/22_El Muelle de Balleno_B2C5","merged_6/15/22_El Muelle de Balleno_B2C4; merged_6/15/22_El Muelle de Balleno_B2C5","merged_6/15/22_El Muelle de Balleno_B2C4; merged_6/15/22_El Muelle de Balleno_B2C5","merged_6/15/22_Cartago Bay_B1C7; merged_6/15/22_Cartago Bay_B2C1; merged_6/15/22_Cartago Bay_B2C2","merged","merged","merged","merged","merged","merged","","","","","",""
"Assosiated.DNA.Blood.Sample",NA,NA,NA,NA,"S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","","","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S53","S54","S55","S56","S57","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120","S121","S122","S123","S125","S126","S127","S128","S129","S134","S135","S136","S137","S138","S139","","","","","","","","","","","",""
"Fishing.Notes",NA,NA,NA,NA,"","","","","Haley took this swab and I'm not sure if she went past the sphincter","","","","","","","","","","","","","","","","","","","","Gill parasite"," "," "," "," "," "," "," "," "," ","Recaptured and struggled a bit but survived","","","","","","","","","","","","","","","","","Blood didn't separate all the way when spun","","","Made weird noise with mouth, kind of seemed like it was seizing","","","","","","","","","","","","","","","","","","Parasite; Got enough blood for DNA but not enough for stable isotope","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Line Parasite","","","","","","Closed umbilical scar","Closed umbilical scar","Closed umbilical scar","Closed umbilical scar","Closed umbilical scar","","","","","","",""
