"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126"
"sample","genus","species","con_G15","con_G31","con_G43","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010","G011","G012","G013","G014","G015","G016","G017","G018","G019","G020","G021","G022","G023","G024","G025","G026","G027","G028","G029","G030","G031","G032","G033","G034","G035","G036","G037","G038","G039","G040","G041","G042","G043","G044","G045","G046","G047","G048","G049","G050","G051","G053","G054","G055","G056","G057","G062","G063","G064","G065","G066","G067","G068","G069","G070","G071","G072","G073","G074","G075","G076","G077","G078","G099","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G125","G126","G127","G128","G129","G134","G135","G136","G137","G138","G139","G163","G164","G165","G166","G169","G170","G186","G187","G188","G189","G190","G191"
"Calappa convexa 1","Calappa","Calappa convexa","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Thunnus genus 1","Thunnus","Thunnus genus","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","1511","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Selar crumenophthalmus 1","Selar","Selar crumenophthalmus","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","342","2","   4"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Fistularia commersonii 1","Fistularia","Fistularia commersonii","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","221"," 0"," 0","0","0","  0"
"Semicossyphus pulcher 1","Semicossyphus","Semicossyphus pulcher","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0","10","35","8","0","  0"
"Meiosquilla dawsoni 1","Meiosquilla","Meiosquilla dawsoni","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Achelous tuberculatus 1","Achelous","Achelous tuberculatus","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Palaemon ritteri 1","Palaemon","Palaemon ritteri","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Microcassiope xantusii 1","Microcassiope","Microcassiope xantusii","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Abudefduf","Abudefduf","Abudefduf genus","1","   1","10"," 1013","    0","   76","   3","   3","22627","  1","6","25328","    3","  1","  7","   3","  5"," 1"," 2","7","    1","   2","    6","14466","  7","  0","  1","    2","    0","    0","1","  3","  2","0","0"," 2","0"," 0","    1","2","   2","    0","2"," 3","   1","0","2","   4","118","   42","0","6","    1","2","75603","   21"," 5"," 4","3","    0"," 86","  0","0","  4","    0","241","    2"," 2","  2","    0"," 0","    2","  0","0","0","0","0"," 0","0","  0"," 0","54484","0","0","   0","8594","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","8129"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
